Loading model model_data/bc_warmstart/recurrent_ppo_genetic_ibm ...
[EnvDebug] Step: 4000, Active: 1596, Mass: 126.27, OD: 0.0210, Turb: 21.1223, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.135, Done: False
[EnvDebug] Step: 4500, Active: 1248, Mass: 120.31, OD: 0.0201, Turb: 19.9188, pH: 8.95, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.139, Done: False
[EnvDebug] Step: 5000, Active: 1003, Mass: 117.90, OD: 0.0197, Turb: 19.3880, pH: 8.94, Shock: 1.00, Clump: 1.04, MeanX: 0.00, RGB: 0.99, Rew: 0.141, Done: False
[EnvDebug] Step: 5500, Active: 1533, Mass: 109.69, OD: 0.0183, Turb: 18.0682, pH: 8.83, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.146, Done: False
[EnvDebug] Step: 6000, Active: 1529, Mass: 133.62, OD: 0.0223, Turb: 22.2305, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.129, Done: False
[EnvDebug] Step: 6500, Active: 1153, Mass: 122.71, OD: 0.0205, Turb: 20.4331, pH: 8.95, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.138, Done: False
[EnvDebug] Step: 7000, Active: 895, Mass: 115.71, OD: 0.0193, Turb: 18.9186, pH: 8.95, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.143, Done: False
[EnvDebug] Step: 7200, Active: 1384, Mass: 125.04, OD: 0.0208, Turb: 21.0599, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.136, Done: True
  [  6/40] seed= 1005     init=  279  steps= 7200  crashed=False  harvested=  183.4mg  time_avg_od=0.0197
[EnvDebug] Step: 500, Active: 254, Mass: 18.23, OD: 0.0030, Turb: 3.1229, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.090, Done: False
[EnvDebug] Step: 1000, Active: 251, Mass: 21.33, OD: 0.0036, Turb: 3.5410, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.100, Done: False
[EnvDebug] Step: 1500, Active: 247, Mass: 25.10, OD: 0.0042, Turb: 4.2246, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.98, Rew: 0.111, Done: False
[EnvDebug] Step: 2000, Active: 243, Mass: 29.65, OD: 0.0049, Turb: 4.9875, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.123, Done: False
[EnvDebug] Step: 2500, Active: 486, Mass: 35.54, OD: 0.0059, Turb: 6.0001, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.133, Done: False
[EnvDebug] Step: 3000, Active: 484, Mass: 42.55, OD: 0.0071, Turb: 6.8296, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.144, Done: False
[EnvDebug] Step: 3500, Active: 481, Mass: 50.88, OD: 0.0085, Turb: 8.3625, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.153, Done: False
[EnvDebug] Step: 4000, Active: 480, Mass: 61.06, OD: 0.0102, Turb: 10.1832, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.159, Done: False
[EnvDebug] Step: 4500, Active: 951, Mass: 72.33, OD: 0.0121, Turb: 11.9995, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.98, Rew: 0.161, Done: False
[EnvDebug] Step: 5000, Active: 948, Mass: 86.31, OD: 0.0144, Turb: 14.2047, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.158, Done: False
[EnvDebug] Step: 5500, Active: 944, Mass: 102.45, OD: 0.0171, Turb: 16.7286, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.151, Done: False
[EnvDebug] Step: 6000, Active: 942, Mass: 121.95, OD: 0.0203, Turb: 19.3976, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.138, Done: False
[EnvDebug] Step: 6500, Active: 1814, Mass: 140.97, OD: 0.0235, Turb: 21.3108, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.123, Done: False
[EnvDebug] Step: 7000, Active: 1659, Mass: 154.91, OD: 0.0258, Turb: 23.1046, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.113, Done: False
[EnvDebug] Step: 7200, Active: 1649, Mass: 165.91, OD: 0.0277, Turb: 24.2523, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.99, Rew: 0.105, Done: True
  [  7/40] seed= 1006     init=  128  steps= 7200  crashed=False  harvested=   15.4mg  time_avg_od=0.0170
[EnvDebug] Step: 500, Active: 220, Mass: 16.27, OD: 0.0027, Turb: 2.7047, pH: 8.95, Shock: 0.99, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.084, Done: False
[EnvDebug] Step: 1000, Active: 219, Mass: 20.52, OD: 0.0034, Turb: 3.4442, pH: 8.95, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.099, Done: False
[EnvDebug] Step: 1500, Active: 217, Mass: 26.19, OD: 0.0044, Turb: 4.2809, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.115, Done: False
[EnvDebug] Step: 2000, Active: 434, Mass: 33.71, OD: 0.0056, Turb: 5.6373, pH: 8.94, Shock: 1.00, Clump: 1.00, MeanX: 0.00, RGB: 0.99, Rew: 0.131, Done: False
[EnvDebug] Step: 2500, Active: 432, Mass: 43.50, OD: 0.0072, Turb: 7.2344, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.147, Done: False
[EnvDebug] Step: 3000, Active: 430, Mass: 56.10, OD: 0.0093, Turb: 9.3232, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.158, Done: False
[EnvDebug] Step: 3500, Active: 857, Mass: 71.77, OD: 0.0120, Turb: 11.8753, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.162, Done: False
[EnvDebug] Step: 4000, Active: 851, Mass: 91.70, OD: 0.0153, Turb: 15.3723, pH: 8.94, Shock: 1.00, Clump: 1.01, MeanX: 0.00, RGB: 0.99, Rew: 0.157, Done: False
[EnvDebug] Step: 4500, Active: 866, Mass: 116.40, OD: 0.0194, Turb: 19.2344, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.143, Done: False
[EnvDebug] Step: 5000, Active: 1434, Mass: 123.50, OD: 0.0206, Turb: 20.3184, pH: 8.94, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.137, Done: False
[EnvDebug] Step: 5500, Active: 1110, Mass: 121.06, OD: 0.0202, Turb: 20.2152, pH: 8.84, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.99, Rew: 0.139, Done: False
[EnvDebug] Step: 6000, Active: 1316, Mass: 153.36, OD: 0.0256, Turb: 24.7106, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.115, Done: False
[EnvDebug] Step: 6500, Active: 1666, Mass: 146.25, OD: 0.0244, Turb: 23.4433, pH: 8.95, Shock: 1.00, Clump: 1.02, MeanX: 0.00, RGB: 0.98, Rew: 0.120, Done: False
[EnvDebug] Step: 7000, Active: 1220, Mass: 135.77, OD: 0.0226, Turb: 22.6019, pH: 8.95, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.129, Done: False
[EnvDebug] Step: 7200, Active: 1219, Mass: 149.40, OD: 0.0249, Turb: 24.3106, pH: 8.94, Shock: 1.00, Clump: 1.03, MeanX: 0.00, RGB: 0.98, Rew: 0.118, Done: True
